POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Josh Berry	21	Ford	267	7	18	46	6	0
2	Daniel Suarez	99	Chevrolet	267	23	12	39	4	0
3	Ryan Preece	60	Ford	267	12	0	34	0	0
4	William Byron	24	Chevrolet	267	8	10	42	9	0
5	Ross Chastain	1	Chevrolet	267	19	14	40	8	0
6	Austin Cindric	2	Ford	267	3	47	41	10	0
7	Alex Bowman	48	Chevrolet	267	6	2	39	9	0
8	AJ Allmendinger	16	Chevrolet	267	18	0	34	5	0
9	Kyle Larson	5	Chevrolet	267	10	61	44	16	0
10	Chase Elliott	9	Chevrolet	267	16	0	35	8	0
11	Brad Keselowski	6	Ford	267	27	0	26	0	0
12	Christopher Bell	20	Toyota	267	13	0	26	1	0
13	Chris Buescher	17	Ford	267	11	0	24	0	0
14	Justin Haley	7	Chevrolet	267	33	0	23	0	0
15	Joey Logano	22	Ford	267	2	40	26	4	0
16	Michael McDowell	71	Chevrolet	267	1	5	21	0	0
17	Chase Briscoe	19	Toyota	267	24	0	20	0	0
18	Ricky Stenhouse Jr.	47	Chevrolet	267	31	0	20	1	0
19	Riley Herbst	35	Toyota	267	34	0	18	0	0
20	John Hunter Nemechek	42	Toyota	267	30	0	17	0	0
21	Ty Dillon	10	Chevrolet	267	17	0	16	0	0
22	Ty Gibbs	54	Toyota	267	29	0	15	0	0
23	Zane Smith	38	Ford	267	9	0	14	0	0
24	Tyler Reddick	45	Toyota	267	14	34	16	3	0
25	Denny Hamlin	11	Toyota	267	15	0	12	0	0
26	Cole Custer	41	Ford	267	26	0	11	0	0
27	Erik Jones	43	Toyota	266	5	1	10	0	0
28	Bubba Wallace	23	Toyota	266	20	20	23	14	0
29	Todd Gilliland	34	Ford	265	32	0	8	0	0
30	Carson Hocevar	77	Chevrolet	265	25	0	15	8	0
31	Noah Gragson	4	Ford	241	21	0	6	0	0
32	Austin Dillon	3	Chevrolet	240	22	0	5	0	0
33	Kyle Busch	8	Chevrolet	232	4	3	4	0	0
34	Shane van Gisbergen	88	Chevrolet	195	28	0	3	0	0
35	Ryan Blaney	12	Ford	194	36	0	7	5	0
36	Cody Ware	51	Ford	186	35	0	1	0	0
