POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	267	14	0	40	0	0
2	Alex Bowman	48	Chevrolet	267	1	0	35	0	0
3	Bubba Wallace	23	Toyota	267	9	0	34	0	0
4	Chase Briscoe	19	Toyota	267	4	0	33	0	0
5	Denny Hamlin	11	Toyota	267	23	0	32	0	0
6	Chris Buescher	17	Ford	267	11	0	31	0	0
7	AJ Allmendinger	16	Chevrolet	267	10	0	30	0	0
8	Tyler Reddick	45	Toyota	267	20	0	29	0	0
9	Ryan Preece	60	Ford	267	31	0	28	0	0
10	Justin Haley	7	Chevrolet	267	21	0	27	0	0
11	Zane Smith	38	Ford	267	17	0	26	0	0
12	William Byron	24	Chevrolet	267	5	0	25	0	0
13	Austin Dillon	3	Chevrolet	267	30	0	24	0	0
14	Joey Logano	22	Ford	267	12	0	23	0	0
15	Erik Jones	43	Toyota	267	28	0	22	0	0
16	Noah Gragson	4	Ford	267	3	0	21	0	0
17	Josh Berry	21	Ford	267	2	0	20	0	0
18	Chase Elliott	9	Chevrolet	267	18	0	19	0	0
19	Austin Cindric	2	Ford	267	8	0	18	0	0
20	Michael McDowell	71	Chevrolet	267	26	0	17	0	0
21	Kyle Busch	8	Chevrolet	267	22	0	16	0	0
22	Daniel Suarez	99	Chevrolet	267	33	0	15	0	0
23	John Hunter Nemechek	42	Toyota	267	7	0	14	0	0
24	Ricky Stenhouse Jr.	47	Chevrolet	267	27	0	13	0	0
25	Ty Gibbs	54	Toyota	267	13	0	12	0	0
26	Brad Keselowski	6	Ford	267	32	0	11	0	0
27	Ty Dillon	10	Chevrolet	267	34	0	10	0	0
28	Cole Custer	41	Ford	267	24	0	9	0	0
29	Christopher Bell	20	Toyota	267	16	0	8	0	0
30	Todd Gilliland	34	Ford	267	29	0	7	0	0
31	Ross Chastain	1	Chevrolet	267	25	0	6	0	0
32	Shane van Gisbergen	88	Chevrolet	267	35	0	5	0	0
33	Riley Herbst	35	Toyota	267	19	0	4	0	0
34	Cody Ware	51	Ford	267	36	0	3	0	0
35	J.J. Yeley	44	Chevrolet	267	37	0	2	0	0
36	Ryan Blaney	12	Ford	267	6	0	1	0	0
37	Carson Hocevar	77	Chevrolet	267	15	0	1	0	0
